userId,courseId,rating,timestamp
14134,30,2,2022-10-10 17:21:25.913541
19224,6,2,2022-08-16 14:30:14.454004
370,38,1,2023-12-08 21:35:19.048880
7284,9,2,2020-11-24 12:41:00.998192
14238,19,1,2021-04-01 12:25:02.245872
150,1,3,2022-03-29 16:03:43.493955
10584,35,1,2022-10-03 06:25:02.855613
1144,8,2,2019-08-04 10:31:51.489120
8972,3,2,2024-03-08 04:25:02.559782
3865,33,4,2023-07-25 02:51:25.881798
19982,9,3,2022-04-30 11:06:23.530538
15690,29,5,2019-12-15 19:09:01.936234
2242,40,2,2019-12-20 07:24:11.080676
12896,31,1,2020-09-18 11:25:39.333694
18945,36,2,2020-01-07 03:56:24.504247
14415,39,2,2021-07-29 16:27:28.560341
7842,28,5,2023-02-28 04:06:34.921911
7181,15,5,2021-08-06 03:04:18.675005
11959,24,3,2022-11-11 03:41:43.110936
5424,11,4,2022-05-28 12:40:42.217980
5945,15,2,2023-08-19 17:37:58.362068
1065,34,2,2022-10-02 06:26:49.427314
15067,4,4,2020-03-29 07:03:19.391389
19634,9,4,2021-06-08 13:47:24.271584
16604,20,3,2021-01-23 03:39:26.372870
14847,33,2,2024-01-02 23:48:09.094703
5284,31,4,2020-02-14 15:59:03.770841
19840,9,1,2019-10-18 20:12:14.376418
4689,23,4,2024-03-15 20:49:42.471453
19003,35,3,2021-11-13 09:24:30.399143
13215,32,5,2022-07-09 22:50:36.906090
1601,23,3,2020-01-20 16:17:13.515200
12973,32,1,2021-05-14 13:25:52.415434
19421,32,4,2023-03-09 18:04:10.988528
4678,39,2,2023-03-06 12:32:40.980472
7496,19,1,2024-03-27 23:53:27.516438
17344,22,5,2022-12-19 11:51:56.652534
1216,3,5,2023-06-09 14:50:58.226707
18260,32,4,2020-07-20 21:48:21.941120
14708,7,1,2022-05-15 00:11:42.527605
17131,6,3,2021-11-27 09:23:44.586734
8286,2,3,2019-12-21 05:22:53.933598
6249,24,5,2021-04-10 23:15:44.003527
1478,11,5,2022-03-29 11:15:17.269985
15358,23,2,2023-08-31 10:06:54.365932
7389,19,2,2019-12-17 16:17:42.557013
3898,11,1,2021-01-04 02:52:19.841188
19227,28,3,2022-01-10 17:42:52.402213
9108,22,4,2021-02-01 16:15:08.806198
16554,41,5,2021-09-07 00:41:38.031953
7119,25,4,2023-02-01 08:10:11.287237
19540,31,3,2023-10-11 17:16:06.189328
12303,35,4,2021-07-26 20:43:47.213110
6933,11,2,2023-02-08 23:53:25.175571
4555,9,1,2019-11-23 12:50:08.985758
17769,30,4,2020-03-23 10:03:20.727373
9767,23,1,2019-11-24 10:34:58.110007
14371,24,3,2020-07-01 16:41:14.467497
3257,18,2,2022-02-01 22:03:46.878546
7409,34,5,2024-05-18 02:19:13.430022
3834,6,2,2020-12-22 17:32:54.738946
10318,22,1,2023-01-30 13:03:41.237786
15273,27,2,2024-01-30 12:24:15.283762
